Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
10.07049345,-0.00127312,0.00135269,0.00175054,0.00111398,0.00105222,-0.0012141,4.92E-276,0.8094
10.08064516,-0.00095124,0.0007927,0.00285372,0.00023781,-0.00032316,0.00016158,1.38E-273,0.8079
10.09081736,-0.00063192,-0.00031596,0.00023697,-0.00071091,-0.00064424,0.00120795,3.82E-271,0.8053
10.1010101,0.00055125,-0.00149625,-0.0011025,-0.0011025,0.00072216,0.00112336,1.04E-268,0.8024
10.11122346,0.00133569,-0.00109998,0.0015714,-0.00086427,0.00192168,0.00128112,2.81E-266,0.8007
10.12145749,0.00101959,0.00054901,0.00360778,0.00031372,0.00223916,0.0015994,7.45E-264,0.7997
10.13171226,0.00054831,0.00101829,0.00125328,0.00109662,0.00263307,0.00223412,1.95E-261,0.7979
10.14198783,0,0.00093948,-0.00148751,0.00031316,0.00286416,0.00230724,5.02E-259,0.7956
10.15228426,0.00015662,0.00054817,-0.00117465,-0.00039155,0.0026996,0.001588,1.27E-256,0.794
10.16260163,0.0006268,0,0.0012536,-0.00023505,0.00198375,0.00150765,3.19E-254,0.7935
